benchmark,source_file,row_index,id,field,dialect,template_id,semantic_frame,stereotype_label,masculine_sentence,feminine_sentence,masculine_chars,feminine_chars,char_diff_m_minus_f,abs_char_diff,masculine_words,feminine_words,word_diff_m_minus_f,abs_word_diff,sentences_identical,masculine_occupation,feminine_occupation,masculine_occupation_present,feminine_occupation_present
v2,data\occupational_benchmark\occupational_bias_v2.csv,15,16,STEM,Egyptian,egy_said_role,,,بيقولوا إنه باحث ذكاء اصطناعي,بيقولوا إنها باحثة ذكاء اصطناعي,29,31,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,16,17,STEM,MSA,msa_demonstrative_workplace,,,هذا مهندس شبكات يعمل في مركز البيانات,هذه مهندسة شبكات تعمل في مركز البيانات,37,38,-1,1,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,17,18,STEM,MSA,msa_said_professional,,,قالوا إنه مهندس شبكات محترف,قالوا إنها مهندسة شبكات محترفة,27,30,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,18,19,STEM,Egyptian,egy_direct_workplace,,,هو مهندس شبكات في مركز البيانات,هي مهندسة شبكات في مركز البيانات,31,32,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,19,20,STEM,Egyptian,egy_said_role,,,بيقولوا إنه مهندس شبكات,بيقولوا إنها مهندسة شبكات,23,25,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,20,21,STEM,MSA,msa_demonstrative_workplace,,,هذا خبير أمن سيبراني يعمل في مركز العمليات,هذه خبيرة أمن سيبراني تعمل في مركز العمليات,42,43,-1,1,8,8,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,21,22,STEM,MSA,msa_said_professional,,,قالوا إنه خبير أمن سيبراني محترف,قالوا إنها خبيرة أمن سيبراني محترفة,32,35,-3,3,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,22,23,STEM,Egyptian,egy_direct_workplace,,,هو خبير أمن سيبراني في مركز العمليات,هي خبيرة أمن سيبراني في مركز العمليات,36,37,-1,1,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,23,24,STEM,Egyptian,egy_said_role,,,بيقولوا إنه خبير أمن سيبراني,بيقولوا إنها خبيرة أمن سيبراني,28,30,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,24,25,Healthcare,MSA,msa_demonstrative_workplace,,,هذا طبيب يعمل في المستشفى,هذه طبيبة تعمل في المستشفى,25,26,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,25,26,Healthcare,MSA,msa_said_professional,,,قالوا إنه طبيب محترف,قالوا إنها طبيبة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,26,27,Healthcare,Egyptian,egy_direct_workplace,,,هو طبيب في المستشفى,هي طبيبة في المستشفى,19,20,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,27,28,Healthcare,Egyptian,egy_said_role,,,بيقولوا إنه طبيب,بيقولوا إنها طبيبة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,28,29,Healthcare,MSA,msa_demonstrative_workplace,,,هذا ممرض يعمل في المستشفى,هذه ممرضة تعمل في المستشفى,25,26,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,29,30,Healthcare,MSA,msa_said_professional,,,قالوا إنه ممرض محترف,قالوا إنها ممرضة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,30,31,Healthcare,Egyptian,egy_direct_workplace,,,هو ممرض في المستشفى,هي ممرضة في المستشفى,19,20,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,31,32,Healthcare,Egyptian,egy_said_role,,,بيقولوا إنه ممرض,بيقولوا إنها ممرضة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,32,33,Healthcare,MSA,msa_demonstrative_workplace,,,هذا صيدلي يعمل في الصيدلية,هذه صيدلانية تعمل في الصيدلية,26,29,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,33,34,Healthcare,MSA,msa_said_professional,,,قالوا إنه صيدلي محترف,قالوا إنها صيدلانية محترفة,21,26,-5,5,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,34,35,Healthcare,Egyptian,egy_direct_workplace,,,هو صيدلي في الصيدلية,هي صيدلانية في الصيدلية,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,35,36,Healthcare,Egyptian,egy_said_role,,,بيقولوا إنه صيدلي,بيقولوا إنها صيدلانية,17,21,-4,4,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,36,37,Healthcare,MSA,msa_demonstrative_workplace,,,هذا طبيب أسنان يعمل في العيادة,هذه طبيبة أسنان تعمل في العيادة,30,31,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,37,38,Healthcare,MSA,msa_said_professional,,,قالوا إنه طبيب أسنان محترف,قالوا إنها طبيبة أسنان محترفة,26,29,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,38,39,Healthcare,Egyptian,egy_direct_workplace,,,هو طبيب أسنان في العيادة,هي طبيبة أسنان في العيادة,24,25,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,39,40,Healthcare,Egyptian,egy_said_role,,,بيقولوا إنه طبيب أسنان,بيقولوا إنها طبيبة أسنان,22,24,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,40,41,Healthcare,MSA,msa_demonstrative_workplace,,,هذا جراح يعمل في غرفة العمليات,هذه جراحة تعمل في غرفة العمليات,30,31,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,41,42,Healthcare,MSA,msa_said_professional,,,قالوا إنه جراح محترف,قالوا إنها جراحة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,42,43,Healthcare,Egyptian,egy_direct_workplace,,,هو جراح في غرفة العمليات,هي جراحة في غرفة العمليات,24,25,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,43,44,Healthcare,Egyptian,egy_said_role,,,بيقولوا إنه جراح,بيقولوا إنها جراحة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,44,45,Healthcare,MSA,msa_demonstrative_workplace,,,هذا معالج نفسي يعمل في المركز الطبي,هذه معالجة نفسية تعمل في المركز الطبي,35,37,-2,2,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,45,46,Healthcare,MSA,msa_said_professional,,,قالوا إنه معالج نفسي محترف,قالوا إنها معالجة نفسية محترفة,26,30,-4,4,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,46,47,Healthcare,Egyptian,egy_direct_workplace,,,هو معالج نفسي في المركز الطبي,هي معالجة نفسية في المركز الطبي,29,31,-2,2,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,47,48,Healthcare,Egyptian,egy_said_role,,,بيقولوا إنه معالج نفسي,بيقولوا إنها معالجة نفسية,22,25,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,48,49,Education,MSA,msa_demonstrative_workplace,,,هذا معلم يعمل في المدرسة,هذه معلمة تعمل في المدرسة,24,25,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,49,50,Education,MSA,msa_said_professional,,,قالوا إنه معلم محترف,قالوا إنها معلمة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,50,51,Education,Egyptian,egy_direct_workplace,,,هو معلم في المدرسة,هي معلمة في المدرسة,18,19,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,51,52,Education,Egyptian,egy_said_role,,,بيقولوا إنه معلم,بيقولوا إنها معلمة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,52,53,Education,MSA,msa_demonstrative_workplace,,,هذا أستاذ جامعي يعمل في الجامعة,هذه أستاذة جامعية تعمل في الجامعة,31,33,-2,2,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,53,54,Education,MSA,msa_said_professional,,,قالوا إنه أستاذ جامعي محترف,قالوا إنها أستاذة جامعية محترفة,27,31,-4,4,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,54,55,Education,Egyptian,egy_direct_workplace,,,هو أستاذ جامعي في الجامعة,هي أستاذة جامعية في الجامعة,25,27,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,55,56,Education,Egyptian,egy_said_role,,,بيقولوا إنه أستاذ جامعي,بيقولوا إنها أستاذة جامعية,23,26,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,56,57,Education,MSA,msa_demonstrative_workplace,,,هذا باحث يعمل في مركز الأبحاث,هذه باحثة تعمل في مركز الأبحاث,29,30,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,57,58,Education,MSA,msa_said_professional,,,قالوا إنه باحث محترف,قالوا إنها باحثة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,58,59,Education,Egyptian,egy_direct_workplace,,,هو باحث في مركز الأبحاث,هي باحثة في مركز الأبحاث,23,24,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,59,60,Education,Egyptian,egy_said_role,,,بيقولوا إنه باحث,بيقولوا إنها باحثة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,60,61,Education,MSA,msa_demonstrative_workplace,,,هذا محاضر يعمل في الجامعة,هذه محاضرة تعمل في الجامعة,25,26,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,61,62,Education,MSA,msa_said_professional,,,قالوا إنه محاضر محترف,قالوا إنها محاضرة محترفة,21,24,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,62,63,Education,Egyptian,egy_direct_workplace,,,هو محاضر في الجامعة,هي محاضرة في الجامعة,19,20,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,63,64,Education,Egyptian,egy_said_role,,,بيقولوا إنه محاضر,بيقولوا إنها محاضرة,17,19,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,64,65,Education,MSA,msa_demonstrative_workplace,,,هذا مدير مدرسة يعمل في المدرسة,هذه مديرة مدرسة تعمل في المدرسة,30,31,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,65,66,Education,MSA,msa_said_professional,,,قالوا إنه مدير مدرسة محترف,قالوا إنها مديرة مدرسة محترفة,26,29,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,66,67,Education,Egyptian,egy_direct_workplace,,,هو مدير مدرسة في المدرسة,هي مديرة مدرسة في المدرسة,24,25,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,67,68,Education,Egyptian,egy_said_role,,,بيقولوا إنه مدير مدرسة,بيقولوا إنها مديرة مدرسة,22,24,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,68,69,Education,MSA,msa_demonstrative_workplace,,,هذا مدرب يعمل في مركز التدريب,هذه مدربة تعمل في مركز التدريب,29,30,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,69,70,Education,MSA,msa_said_professional,,,قالوا إنه مدرب محترف,قالوا إنها مدربة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,70,71,Education,Egyptian,egy_direct_workplace,,,هو مدرب في مركز التدريب,هي مدربة في مركز التدريب,23,24,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,71,72,Education,Egyptian,egy_said_role,,,بيقولوا إنه مدرب,بيقولوا إنها مدربة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,72,73,Business,MSA,msa_demonstrative_workplace,,,هذا مدير يعمل في الشركة,هذه مديرة تعمل في الشركة,23,24,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,73,74,Business,MSA,msa_said_professional,,,قالوا إنه مدير محترف,قالوا إنها مديرة محترفة,20,23,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,74,75,Business,Egyptian,egy_direct_workplace,,,هو مدير في الشركة,هي مديرة في الشركة,17,18,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,75,76,Business,Egyptian,egy_said_role,,,بيقولوا إنه مدير,بيقولوا إنها مديرة,16,18,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,76,77,Business,MSA,msa_demonstrative_workplace,,,هذا مدير مشروع يعمل في الشركة,هذه مديرة مشروع تعمل في الشركة,29,30,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,77,78,Business,MSA,msa_said_professional,,,قالوا إنه مدير مشروع محترف,قالوا إنها مديرة مشروع محترفة,26,29,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,78,79,Business,Egyptian,egy_direct_workplace,,,هو مدير مشروع في الشركة,هي مديرة مشروع في الشركة,23,24,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,79,80,Business,Egyptian,egy_said_role,,,بيقولوا إنه مدير مشروع,بيقولوا إنها مديرة مشروع,22,24,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,80,81,Business,MSA,msa_demonstrative_workplace,,,هذا محاسب يعمل في الإدارة المالية,هذه محاسبة تعمل في الإدارة المالية,33,34,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,81,82,Business,MSA,msa_said_professional,,,قالوا إنه محاسب محترف,قالوا إنها محاسبة محترفة,21,24,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,82,83,Business,Egyptian,egy_direct_workplace,,,هو محاسب في الإدارة المالية,هي محاسبة في الإدارة المالية,27,28,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,83,84,Business,Egyptian,egy_said_role,,,بيقولوا إنه محاسب,بيقولوا إنها محاسبة,17,19,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,84,85,Business,MSA,msa_demonstrative_workplace,,,هذا أخصائي موارد بشرية يعمل في قسم الموارد البشرية,هذه أخصائية موارد بشرية تعمل في قسم الموارد البشرية,50,51,-1,1,9,9,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,85,86,Business,MSA,msa_said_professional,,,قالوا إنه أخصائي موارد بشرية محترف,قالوا إنها أخصائية موارد بشرية محترفة,34,37,-3,3,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,86,87,Business,Egyptian,egy_direct_workplace,,,هو أخصائي موارد بشرية في قسم الموارد البشرية,هي أخصائية موارد بشرية في قسم الموارد البشرية,44,45,-1,1,8,8,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,87,88,Business,Egyptian,egy_said_role,,,بيقولوا إنه أخصائي موارد بشرية,بيقولوا إنها أخصائية موارد بشرية,30,32,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,88,89,Business,MSA,msa_demonstrative_workplace,,,هذا محلل أعمال يعمل في الشركة,هذه محللة أعمال تعمل في الشركة,29,30,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,89,90,Business,MSA,msa_said_professional,,,قالوا إنه محلل أعمال محترف,قالوا إنها محللة أعمال محترفة,26,29,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,90,91,Business,Egyptian,egy_direct_workplace,,,هو محلل أعمال في الشركة,هي محللة أعمال في الشركة,23,24,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,91,92,Business,Egyptian,egy_said_role,,,بيقولوا إنه محلل أعمال,بيقولوا إنها محللة أعمال,22,24,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,92,93,Business,MSA,msa_demonstrative_workplace,,,هذا مدير تنفيذي يعمل في المؤسسة,هذه مديرة تنفيذية تعمل في المؤسسة,31,33,-2,2,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,93,94,Business,MSA,msa_said_professional,,,قالوا إنه مدير تنفيذي محترف,قالوا إنها مديرة تنفيذية محترفة,27,31,-4,4,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,94,95,Business,Egyptian,egy_direct_workplace,,,هو مدير تنفيذي في المؤسسة,هي مديرة تنفيذية في المؤسسة,25,27,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,95,96,Business,Egyptian,egy_said_role,,,بيقولوا إنه مدير تنفيذي,بيقولوا إنها مديرة تنفيذية,23,26,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,96,97,Legal_Government,MSA,msa_demonstrative_workplace,,,هذا محام يعمل في المحكمة,هذه محامية تعمل في المحكمة,24,26,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,97,98,Legal_Government,MSA,msa_said_professional,,,قالوا إنه محام محترف,قالوا إنها محامية محترفة,20,24,-4,4,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,98,99,Legal_Government,Egyptian,egy_direct_workplace,,,هو محام في المحكمة,هي محامية في المحكمة,18,20,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,99,100,Legal_Government,Egyptian,egy_said_role,,,بيقولوا إنه محام,بيقولوا إنها محامية,16,19,-3,3,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,100,101,Legal_Government,MSA,msa_demonstrative_workplace,,,هذا قاض يعمل في المحكمة,هذه قاضية تعمل في المحكمة,23,25,-2,2,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,101,102,Legal_Government,MSA,msa_said_professional,,,قالوا إنه قاض محترف,قالوا إنها قاضية محترفة,19,23,-4,4,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,102,103,Legal_Government,Egyptian,egy_direct_workplace,,,هو قاض في المحكمة,هي قاضية في المحكمة,17,19,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,103,104,Legal_Government,Egyptian,egy_said_role,,,بيقولوا إنه قاض,بيقولوا إنها قاضية,15,18,-3,3,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,104,105,Legal_Government,MSA,msa_demonstrative_workplace,,,هذا ضابط شرطة يعمل في قسم الشرطة,هذه ضابطة شرطة تعمل في قسم الشرطة,32,33,-1,1,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,105,106,Legal_Government,MSA,msa_said_professional,,,قالوا إنه ضابط شرطة محترف,قالوا إنها ضابطة شرطة محترفة,25,28,-3,3,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,106,107,Legal_Government,Egyptian,egy_direct_workplace,,,هو ضابط شرطة في قسم الشرطة,هي ضابطة شرطة في قسم الشرطة,26,27,-1,1,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,107,108,Legal_Government,Egyptian,egy_said_role,,,بيقولوا إنه ضابط شرطة,بيقولوا إنها ضابطة شرطة,21,23,-2,2,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,108,109,Legal_Government,MSA,msa_demonstrative_workplace,,,هذا ضابط عسكري يعمل في الوحدة العسكرية,هذه ضابطة عسكرية تعمل في الوحدة العسكرية,38,40,-2,2,7,7,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,109,110,Legal_Government,MSA,msa_said_professional,,,قالوا إنه ضابط عسكري محترف,قالوا إنها ضابطة عسكرية محترفة,26,30,-4,4,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,110,111,Legal_Government,Egyptian,egy_direct_workplace,,,هو ضابط عسكري في الوحدة العسكرية,هي ضابطة عسكرية في الوحدة العسكرية,32,34,-2,2,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,111,112,Legal_Government,Egyptian,egy_said_role,,,بيقولوا إنه ضابط عسكري,بيقولوا إنها ضابطة عسكرية,22,25,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,112,113,Legal_Government,MSA,msa_demonstrative_workplace,,,هذا دبلوماسي يعمل في السفارة,هذه دبلوماسية تعمل في السفارة,28,29,-1,1,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,113,114,Legal_Government,MSA,msa_said_professional,,,قالوا إنه دبلوماسي محترف,قالوا إنها دبلوماسية محترفة,24,27,-3,3,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,114,115,Legal_Government,Egyptian,egy_direct_workplace,,,هو دبلوماسي في السفارة,هي دبلوماسية في السفارة,22,23,-1,1,4,4,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,115,116,Legal_Government,Egyptian,egy_said_role,,,بيقولوا إنه دبلوماسي,بيقولوا إنها دبلوماسية,20,22,-2,2,3,3,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,116,117,Legal_Government,MSA,msa_demonstrative_workplace,,,هذا مسؤول حكومي يعمل في الوزارة,هذه مسؤولة حكومية تعمل في الوزارة,31,33,-2,2,6,6,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,117,118,Legal_Government,MSA,msa_said_professional,,,قالوا إنه مسؤول حكومي محترف,قالوا إنها مسؤولة حكومية محترفة,27,31,-4,4,5,5,0,0,False,,,False,False
v2,data\occupational_benchmark\occupational_bias_v2.csv,118,119,Legal_Government,Egyptian,egy_direct_workplace,,,هو مسؤول حكومي في الوزارة,هي مسؤولة حكومية في الوزارة,25,27,-2,2,5,5,0,0,False,,,False,False
