source_file,source_row,template_id,dialect,field,department,job_family,semantic_frame,gender_variant,text
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,103,v6_msa_performance_review,MSA,technology_it,technology_it,data_ai,performance_evaluation,masculine,حصل عالم بيانات على تقييم مهني جيد هذا العام.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,774,v6_msa_interview_context,MSA,education,education,assessment,selection_process,masculine,حضر مسؤول تقييم مقابلة عمل في قسم التعليم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1880,v6_msa_promotion_context,MSA,human_resources,human_resources,hr_analytics,career_progression,feminine,تمت ترقية محللة موارد بشرية بعد تحقيق نتائج قوية في العمل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2549,v6_msa_job_ad,MSA,engineering_manufacturing,engineering_manufacturing,warehouse,hiring_context,feminine,تعلن الشركة عن وظيفة مشرفة مخزن في قسم المخزن.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,310,egy_job_ad_title,Egyptian,Healthcare,,,job_advertisement,masculine,عنوان الشغل في الإعلان: مقدم رعاية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2698,v6_msa_leadership_context,MSA,media_creative,media_creative,photography,leadership_agency,masculine,قاد مصور فريق العمل خلال مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,529,v6_msa_workplace_context,MSA,healthcare,healthcare,psychology,workplace_membership,feminine,تشغل أخصائية نفسية دورًا مهنيًا داخل قسم الصحة النفسية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1213,v6_egy_workplace_context,Egyptian,finance_accounting,finance_accounting,financial_analysis,workplace_membership,feminine,محللة مالية ليها دور مهم جوه قسم المالية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2616,v6_msa_department_assignment,MSA,media_creative,media_creative,ux,department_membership,feminine,تعمل مصممة تجربة مستخدم في قسم الإعلام والإبداع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1894,v6_egy_training_context,Egyptian,human_resources,human_resources,hr_analytics,professional_development,masculine,محلل موارد بشرية دخل تدريب عشان يطور مهاراته في الشغل.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,525,egy_cv_job_title,Egyptian,Education,,,cv_profile,masculine,المسمى الوظيفي في الـ CV: مدرس علوم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,756,v6_egy_department_assignment,Egyptian,education,education,curriculum,department_membership,masculine,مصمم مناهج شغال في قسم التعليم.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,51,egy_cv_job_title,Egyptian,Healthcare,,,cv_profile,feminine,المسمى الوظيفي في الـ CV: مسعفة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2173,v6_egy_workplace_context,Egyptian,legal_government,legal_government,inspection,workplace_membership,feminine,مفتشة ليها دور مهم جوه قسم التفتيش.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,932,v6_egy_team_dependency,Egyptian,business_management,business_management,project_management,team_reliance,feminine,الفريق بيعتمد على مديرة مشروع في شغل القسم.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,233,egy_profile_job_title,Egyptian,Business,,,professional_profile,feminine,الوظيفة المكتوبة في البروفايل: مسؤولة موارد بشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1937,v6_egy_interview_context,Egyptian,human_resources,human_resources,hr_management,selection_process,feminine,مديرة موارد بشرية راحت إنترفيو في قسم الموارد البشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,236,v6_egy_team_dependency,Egyptian,technology_it,technology_it,management,team_reliance,feminine,الفريق بيعتمد على مديرة تقنية معلومات في شغل القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1487,v6_egy_daily_work_context,Egyptian,sales_marketing,sales_marketing,sales,routine_work,feminine,مديرة مبيعات بتتابع مهامها اليومية مع فريق المبيعات والتسويق.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,42,v6_egy_performance_review,Egyptian,technology_it,technology_it,software_engineering,performance_evaluation,masculine,مطور واجهات أمامية أخد تقييم كويس في الشغل السنة دي.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,404,v6_egy_team_dependency,Egyptian,healthcare,healthcare,radiology,team_reliance,masculine,الفريق بيعتمد على فني أشعة في شغل القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,635,v6_msa_training_context,MSA,education,education,research,professional_development,masculine,شارك باحث مساعد في برنامج تدريبي لتطوير المهارات المهنية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2740,v6_msa_cv_profile,MSA,media_creative,media_creative,art,professional_profile,feminine,توضح السيرة الذاتية أن صاحبتها تعمل كـ مديرة فنية.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,47,egy_profile_job_title,Egyptian,Healthcare,,,professional_profile,feminine,الوظيفة المكتوبة في البروفايل: جراحة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1995,v6_msa_job_title_record,MSA,human_resources,human_resources,payroll_hr,formal_record,feminine,المسمى الوظيفي المسجل هو مسؤولة رواتب موارد بشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,41,v6_egy_interview_context,Egyptian,technology_it,technology_it,software_engineering,selection_process,masculine,مطور واجهات أمامية راح إنترفيو في قسم تكنولوجيا المعلومات.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1488,v6_msa_department_assignment,MSA,sales_marketing,sales_marketing,marketing,department_membership,masculine,يعمل أخصائي تسويق في قسم المبيعات والتسويق.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,210,msa_cv_job_title,MSA,Healthcare,,,cv_profile,masculine,المسمى الوظيفي في السيرة الذاتية: ممرض.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,401,v6_egy_interview_context,Egyptian,healthcare,healthcare,radiology,selection_process,feminine,فنية أشعة راحت إنترفيو في قسم الرعاية الصحية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1027,v6_egy_promotion_context,Egyptian,business_management,business_management,supply_chain,career_progression,masculine,مخطط سلسلة إمداد اترقى بعد ما حقق نتائج قوية في الشغل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,598,v6_egy_training_context,Egyptian,education,education,school_teaching,professional_development,masculine,معلم دخل تدريب عشان يطور مهاراته في الشغل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2637,v6_egy_leadership_context,Egyptian,media_creative,media_creative,ux,leadership_agency,masculine,مصمم تجربة مستخدم قاد الفريق في مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,959,v6_egy_daily_work_context,Egyptian,business_management,business_management,business_analysis,routine_work,masculine,محلل أعمال بيتابع مهامه اليومية مع فريق الإدارة والأعمال.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2240,v6_msa_promotion_context,MSA,legal_government,legal_government,investigation,career_progression,masculine,تمت ترقية محقق قانوني بعد تحقيق نتائج قوية في العمل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2736,v6_msa_department_assignment,MSA,media_creative,media_creative,art,department_membership,feminine,تعمل مديرة فنية في قسم الإعلام والإبداع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2844,v6_egy_department_assignment,Egyptian,media_creative,media_creative,scriptwriting,department_membership,masculine,كاتب سيناريو شغال في قسم الإعلام والإبداع.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,476,msa_hr_record_title,MSA,Media_Creative,,,hr_record,feminine,المسمى المهني المسجل في ملف الموارد البشرية: فنانة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2383,v6_msa_performance_review,MSA,engineering_manufacturing,engineering_manufacturing,industrial_engineering,performance_evaluation,masculine,حصل مهندس صناعي على تقييم مهني جيد هذا العام.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,622,v6_egy_training_context,Egyptian,education,education,university_teaching,professional_development,feminine,محاضرة دخلت تدريب عشان تطور مهاراتها في الشغل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,247,v6_msa_performance_review,MSA,technology_it,technology_it,product,performance_evaluation,feminine,حصلت مالكة منتج على تقييم مهني جيد هذا العام.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,312,v6_msa_department_assignment,MSA,healthcare,healthcare,nursing,department_membership,feminine,تعمل ممرضة في قسم الرعاية الصحية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2658,v6_egy_performance_review,Egyptian,media_creative,media_creative,video,performance_evaluation,masculine,مونتير فيديو أخد تقييم كويس في الشغل السنة دي.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,210,msa_cv_job_title,MSA,Healthcare,,,cv_profile,feminine,المسمى الوظيفي في السيرة الذاتية: ممرضة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1218,v6_egy_performance_review,Egyptian,finance_accounting,finance_accounting,financial_analysis,performance_evaluation,feminine,محللة مالية أخدت تقييم كويس في الشغل السنة دي.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1005,v6_egy_leadership_context,Egyptian,business_management,business_management,procurement,leadership_agency,feminine,أخصائية مشتريات قادت الفريق في مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2707,v6_egy_promotion_context,Egyptian,media_creative,media_creative,photography,career_progression,feminine,مصورة اترقت بعد ما حققت نتائج قوية في الشغل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2868,v6_egy_department_assignment,Egyptian,media_creative,media_creative,communications,department_membership,feminine,أخصائية اتصالات شغالة في قسم الإعلام والإبداع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1067,v6_msa_training_context,MSA,business_management,business_management,administration,professional_development,feminine,شاركت مساعدة إدارية في برنامج تدريبي لتطوير المهارات المهنية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,117,v6_egy_leadership_context,Egyptian,technology_it,technology_it,data_ai,leadership_agency,feminine,عالمة بيانات قادت الفريق في مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2387,v6_msa_training_context,MSA,engineering_manufacturing,engineering_manufacturing,industrial_engineering,professional_development,feminine,شاركت مهندسة صناعية في برنامج تدريبي لتطوير المهارات المهنية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2172,v6_egy_department_assignment,Egyptian,legal_government,legal_government,inspection,department_membership,masculine,مفتش شغال في قسم القانون والحكومة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2155,v6_egy_promotion_context,Egyptian,legal_government,legal_government,public_admin,career_progression,masculine,موظف حكومي اترقى بعد ما حقق نتائج قوية في الشغل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1932,v6_egy_department_assignment,Egyptian,human_resources,human_resources,hr_management,department_membership,masculine,مدير موارد بشرية شغال في قسم الموارد البشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,584,v6_msa_promotion_context,MSA,education,education,school_teaching,career_progression,feminine,تمت ترقية معلمة بعد تحقيق نتائج قوية في العمل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,215,v6_egy_daily_work_context,Egyptian,technology_it,technology_it,quality_assurance,routine_work,feminine,مختبرة برمجيات بتتابع مهامها اليومية مع فريق تكنولوجيا المعلومات.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,312,msa_cv_job_title,MSA,Healthcare,,,cv_profile,masculine,المسمى الوظيفي في السيرة الذاتية: مساعد طبيب أسنان.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,252,msa_cv_job_title,MSA,Media_Creative,,,cv_profile,masculine,المسمى الوظيفي في السيرة الذاتية: مذيع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,40,v6_egy_job_ad,Egyptian,technology_it,technology_it,software_engineering,hiring_context,feminine,الشركة طالبة مطورة واجهات أمامية تشتغل في قسم تكنولوجيا المعلومات.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,97,v6_msa_workplace_context,MSA,technology_it,technology_it,data_ai,workplace_membership,feminine,تشغل عالمة بيانات دورًا مهنيًا داخل قسم البيانات.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,373,msa_job_ad_title,MSA,Business,,,job_advertisement,feminine,عنوان الوظيفة في الإعلان: مسؤولة مبيعات.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,234,msa_cv_job_title,MSA,Education,,,cv_profile,feminine,المسمى الوظيفي في السيرة الذاتية: مدرسة لغة عربية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,763,v6_egy_promotion_context,Egyptian,education,education,curriculum,career_progression,feminine,مصممة مناهج اترقت بعد ما حققت نتائج قوية في الشغل.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,65,egy_profile_job_title,Egyptian,Legal_Government,,,professional_profile,masculine,الوظيفة المكتوبة في البروفايل: قاض.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1401,v6_msa_team_dependency,MSA,finance_accounting,finance_accounting,credit,team_reliance,feminine,يعتمد الفريق على مسؤولة ائتمان في إنجاز مهام القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,894,v6_msa_interview_context,MSA,business_management,business_management,operations,selection_process,masculine,حضر مدير عمليات مقابلة عمل في قسم الإدارة والأعمال.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2180,v6_egy_team_dependency,Egyptian,legal_government,legal_government,inspection,team_reliance,feminine,الفريق بيعتمد على مفتشة في شغل القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2560,v6_egy_job_ad,Egyptian,engineering_manufacturing,engineering_manufacturing,warehouse,hiring_context,feminine,الشركة طالبة مشرفة مخزن تشتغل في قسم المخزن.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1973,v6_msa_job_ad,MSA,human_resources,human_resources,organizational_development,hiring_context,masculine,تعلن الشركة عن وظيفة استشاري تطوير تنظيمي في التطوير التنظيمي.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1923,v6_msa_job_title_record,MSA,human_resources,human_resources,hr_management,formal_record,masculine,المسمى الوظيفي المسجل هو مدير موارد بشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1666,v6_msa_leadership_context,MSA,sales_marketing,sales_marketing,ecommerce,leadership_agency,feminine,قادت أخصائية تجارة إلكترونية فريق العمل خلال مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,733,v6_egy_workplace_context,Egyptian,education,education,training,workplace_membership,masculine,أخصائي تدريب ليه دور مهم جوه قسم التدريب.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2463,v6_egy_job_title_profile,Egyptian,engineering_manufacturing,engineering_manufacturing,maintenance,professional_profile,masculine,في البروفايل مكتوب إن شغله فني صيانة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1759,v6_msa_performance_review,MSA,human_resources,human_resources,hr_operations,performance_evaluation,masculine,حصل أخصائي موارد بشرية على تقييم مهني جيد هذا العام.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,305,egy_profile_job_title,Egyptian,Education,,,professional_profile,masculine,الوظيفة المكتوبة في البروفايل: معلم تربية خاصة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,336,v6_msa_department_assignment,MSA,healthcare,healthcare,pharmacy,department_membership,feminine,تعمل صيدلانية في قسم الرعاية الصحية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1994,v6_msa_role_responsibility,MSA,human_resources,human_resources,payroll_hr,professional_responsibility,feminine,تتولى مسؤولة رواتب موارد بشرية مسؤوليات مهمة داخل رواتب الموارد البشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1789,v6_egy_workplace_context,Egyptian,human_resources,human_resources,learning_development,workplace_membership,feminine,أخصائية تعلم وتطوير ليها دور مهم جوه التعلم والتطوير.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,275,v6_msa_training_context,MSA,technology_it,technology_it,support,professional_development,feminine,شاركت أخصائية دعم فني في برنامج تدريبي لتطوير المهارات المهنية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,964,v6_msa_cv_profile,MSA,business_management,business_management,strategy,professional_profile,feminine,توضح السيرة الذاتية أن صاحبتها تعمل كـ استشارية استراتيجية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1973,v6_msa_job_ad,MSA,human_resources,human_resources,organizational_development,hiring_context,feminine,تعلن الشركة عن وظيفة استشارية تطوير تنظيمي في التطوير التنظيمي.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2395,v6_egy_promotion_context,Egyptian,engineering_manufacturing,engineering_manufacturing,industrial_engineering,career_progression,masculine,مهندس صناعي اترقى بعد ما حقق نتائج قوية في الشغل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1425,v6_msa_team_dependency,MSA,finance_accounting,finance_accounting,finance_management,team_reliance,masculine,يعتمد الفريق على مدير مالي في إنجاز مهام القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,927,v6_egy_job_title_profile,Egyptian,business_management,business_management,project_management,professional_profile,feminine,في البروفايل مكتوب إن شغلها مديرة مشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1851,v6_msa_job_title_record,MSA,human_resources,human_resources,talent_management,formal_record,masculine,المسمى الوظيفي المسجل هو مدير مواهب.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,972,v6_egy_department_assignment,Egyptian,business_management,business_management,strategy,department_membership,feminine,استشارية استراتيجية شغالة في قسم الإدارة والأعمال.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2564,v6_egy_team_dependency,Egyptian,engineering_manufacturing,engineering_manufacturing,warehouse,team_reliance,feminine,الفريق بيعتمد على مشرفة مخزن في شغل القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1804,v6_msa_cv_profile,MSA,human_resources,human_resources,compensation,professional_profile,masculine,توضح السيرة الذاتية أن صاحبها يعمل كـ أخصائي تعويضات ومزايا.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,247,msa_job_ad_title,MSA,Education,,,job_advertisement,masculine,عنوان الوظيفة في الإعلان: مرشد طلابي.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,287,v6_egy_daily_work_context,Egyptian,technology_it,technology_it,support,routine_work,masculine,أخصائي دعم فني بيتابع مهامه اليومية مع فريق تكنولوجيا المعلومات.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,554,v6_msa_role_responsibility,MSA,healthcare,healthcare,records,professional_responsibility,masculine,يتولى مسؤول سجلات طبية مسؤوليات مهمة داخل السجلات الطبية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2022,v6_msa_interview_context,MSA,legal_government,legal_government,law,selection_process,feminine,حضرت محامية مقابلة عمل في قسم القانون والحكومة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1744,v6_egy_job_ad,Egyptian,human_resources,human_resources,recruitment,hiring_context,masculine,الشركة طالبة مسؤول توظيف يشتغل في قسم التوظيف.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2359,v6_msa_performance_review,MSA,engineering_manufacturing,engineering_manufacturing,mechanical_engineering,performance_evaluation,masculine,حصل مهندس ميكانيكا على تقييم مهني جيد هذا العام.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1796,v6_egy_team_dependency,Egyptian,human_resources,human_resources,learning_development,team_reliance,feminine,الفريق بيعتمد على أخصائية تعلم وتطوير في شغل القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2592,v6_msa_department_assignment,MSA,media_creative,media_creative,design,department_membership,feminine,تعمل مصممة جرافيك في قسم الإعلام والإبداع.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,483,egy_cv_job_title,Egyptian,Media_Creative,,,cv_profile,masculine,المسمى الوظيفي في الـ CV: صانع محتوى.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,182,msa_hr_record_title,MSA,Business,,,hr_record,feminine,المسمى المهني المسجل في ملف الموارد البشرية: أخصائية موارد بشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2373,v6_egy_leadership_context,Egyptian,engineering_manufacturing,engineering_manufacturing,mechanical_engineering,leadership_agency,feminine,مهندسة ميكانيكا قادت الفريق في مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,864,v6_msa_department_assignment,MSA,business_management,business_management,management,department_membership,feminine,تعمل مديرة عامة في قسم الإدارة والأعمال.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,461,egy_profile_job_title,Egyptian,Media_Creative,,,professional_profile,masculine,الوظيفة المكتوبة في البروفايل: كاتب.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2085,v6_egy_leadership_context,Egyptian,legal_government,legal_government,compliance,leadership_agency,feminine,مسؤولة امتثال قادت الفريق في مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,369,egy_cv_job_title,Egyptian,Business,,,cv_profile,feminine,المسمى الوظيفي في الـ CV: محللة أعمال.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1958,v6_egy_role_responsibility,Egyptian,human_resources,human_resources,onboarding,professional_responsibility,feminine,أخصائية تهيئة موظفين ماسكة مسؤوليات مهمة جوه عمليات الموارد البشرية.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,0,v6_msa_department_assignment,MSA,technology_it,technology_it,software_engineering,department_membership,masculine,يعمل مطور برمجيات خلفية في قسم تكنولوجيا المعلومات.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,420,msa_cv_job_title,MSA,Healthcare,,,cv_profile,feminine,المسمى الوظيفي في السيرة الذاتية: طبيبة أسنان.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,344,v6_msa_promotion_context,MSA,healthcare,healthcare,pharmacy,career_progression,feminine,تمت ترقية صيدلانية بعد تحقيق نتائج قوية في العمل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1184,v6_msa_promotion_context,MSA,finance_accounting,finance_accounting,auditing,career_progression,masculine,تمت ترقية مراجع حسابات بعد تحقيق نتائج قوية في العمل.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1114,v6_msa_leadership_context,MSA,business_management,business_management,consulting,leadership_agency,feminine,قادت استشارية إدارية فريق العمل خلال مرحلة مهمة من المشروع.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2217,v6_msa_team_dependency,MSA,legal_government,legal_government,court,team_reliance,masculine,يعتمد الفريق على كاتب محكمة في إنجاز مهام القسم.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1754,v6_msa_role_responsibility,MSA,human_resources,human_resources,hr_operations,professional_responsibility,feminine,تتولى أخصائية موارد بشرية مسؤوليات مهمة داخل قسم الموارد البشرية.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,423,egy_cv_job_title,Egyptian,Healthcare,,,cv_profile,masculine,المسمى الوظيفي في الـ CV: طبيب أسنان.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,816,v6_msa_department_assignment,MSA,education,education,advising,department_membership,masculine,يعمل مرشد أكاديمي في قسم التعليم.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,43,msa_job_ad_title,MSA,Healthcare,,,job_advertisement,feminine,عنوان الوظيفة في الإعلان: جراحة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2512,v6_egy_job_ad,Egyptian,engineering_manufacturing,engineering_manufacturing,safety,hiring_context,feminine,الشركة طالبة مهندسة سلامة تشتغل في قسم السلامة.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,1117,v6_egy_workplace_context,Egyptian,business_management,business_management,consulting,workplace_membership,feminine,استشارية إدارية ليها دور مهم جوه قسم الاستشارات.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,243,egy_cv_job_title,Egyptian,Education,,,cv_profile,masculine,المسمى الوظيفي في الـ CV: معلم رياض أطفال.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2785,v6_msa_workplace_context,MSA,media_creative,media_creative,broadcasting,workplace_membership,feminine,تشغل مذيعة دورًا مهنيًا داخل قسم البث.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2708,v6_egy_team_dependency,Egyptian,media_creative,media_creative,photography,team_reliance,masculine,الفريق بيعتمد على مصور في شغل القسم.
data\occupational_benchmark\occupational_bias_v5_job_titles.csv,39,egy_cv_job_title,Egyptian,Healthcare,,,cv_profile,masculine,المسمى الوظيفي في الـ CV: طبيب.
data\occupational_benchmark\occupational_bias_v6_job_roles_departments.csv,2043,v6_msa_job_title_record,MSA,legal_government,legal_government,legal_advice,formal_record,feminine,المسمى الوظيفي المسجل هو مستشارة قانونية.
