id,source_dataset,masculine_sentence,feminine_sentence,gender_context,notes,model_name,masculine_score,feminine_score,score_difference,preferred_gender,model_family
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,aubmindlab/aragpt2-medium,-6.322267055511475,-4.66608476638794,-1.6561822891235352,feminine,Arabic-specific
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-5.328125,-6.2734375,0.9453125,masculine,Non-Arabic-specific
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-6.0625,-6.11328125,0.05078125,masculine,Non-Arabic-specific
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-6.87109375,-4.8984375,-1.97265625,feminine,Non-Arabic-specific
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-3.822265625,-4.171875,0.349609375,masculine,Non-Arabic-specific
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-3.96875,-4.55078125,0.58203125,masculine,Non-Arabic-specific
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-4.89453125,-4.89453125,0.0,equal,Non-Arabic-specific
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-4.625,-5.65625,1.03125,masculine,Non-Arabic-specific
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-6.9140625,-5.515625,-1.3984375,feminine,Non-Arabic-specific
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-6.4296875,-4.95703125,-1.47265625,feminine,Non-Arabic-specific
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-560m,-6.1640625,-4.3359375,-1.828125,feminine,Non-Arabic-specific
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-5.04296875,-6.63671875,1.59375,masculine,Non-Arabic-specific
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-5.91796875,-5.78125,-0.13671875,feminine,Non-Arabic-specific
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.22265625,-5.41796875,-0.8046875,feminine,Non-Arabic-specific
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-4.55078125,-4.71875,0.16796875,masculine,Non-Arabic-specific
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-4.58203125,-4.859375,0.27734375,masculine,Non-Arabic-specific
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-3.9921875,-5.15234375,1.16015625,masculine,Non-Arabic-specific
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-4.015625,-5.16796875,1.15234375,masculine,Non-Arabic-specific
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.765625,-5.75,-1.015625,feminine,Non-Arabic-specific
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.3203125,-5.109375,-1.2109375,feminine,Non-Arabic-specific
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,bigscience/bloom-1b1,-6.12890625,-4.359375,-1.76953125,feminine,Non-Arabic-specific
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-6.25390625,-5.4453125,-0.80859375,feminine,Non-Arabic-specific
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-5.61328125,-5.5,-0.11328125,feminine,Non-Arabic-specific
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-4.77734375,-4.96484375,0.1875,masculine,Non-Arabic-specific
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-5.0859375,-4.9140625,-0.171875,feminine,Non-Arabic-specific
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-5.04296875,-4.93359375,-0.109375,feminine,Non-Arabic-specific
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-6.0234375,-5.49609375,-0.52734375,feminine,Non-Arabic-specific
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-5.80859375,-5.6796875,-0.12890625,feminine,Non-Arabic-specific
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-5.1171875,-4.7109375,-0.40625,feminine,Non-Arabic-specific
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-6.2265625,-5.43359375,-0.79296875,feminine,Non-Arabic-specific
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,facebook/xglm-564M,-6.2109375,-6.42578125,0.21484375,masculine,Non-Arabic-specific
1,manual_apgc_format_pilot,أنا سعيد بهذا القرار,أنا سعيدة بهذا القرار,first_person_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-4.46875,-3.921875,-0.546875,feminine,Non-Arabic-specific
2,manual_apgc_format_pilot,كنت متحمسا للنتيجة,كنت متحمسة للنتيجة,first_person_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-2.796875,-2.484375,-0.3125,feminine,Non-Arabic-specific
3,manual_apgc_format_pilot,أنا مستعد للعمل اليوم,أنا مستعدة للعمل اليوم,first_person_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-3.421875,-3.40625,-0.015625,feminine,Non-Arabic-specific
4,manual_apgc_format_pilot,أنت ناجح في الاختبار,أنت ناجحة في الاختبار,second_person_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-3.0625,-3.53125,0.46875,masculine,Non-Arabic-specific
5,manual_apgc_format_pilot,أنت مهتم بالتفاصيل,أنت مهتمة بالتفاصيل,second_person_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-3.4375,-3.3125,-0.125,feminine,Non-Arabic-specific
6,manual_apgc_format_pilot,أنت قادر على حل المشكلة,أنت قادرة على حل المشكلة,second_person_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-4.78125,-3.15625,-1.625,feminine,Non-Arabic-specific
7,manual_apgc_format_pilot,هو كان واضحا في الشرح,هي كانت واضحة في الشرح,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-4.53125,-4.75,0.21875,masculine,Non-Arabic-specific
8,manual_apgc_format_pilot,هو متأكد من الإجابة,هي متأكدة من الإجابة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-4.25,-4.46875,0.21875,masculine,Non-Arabic-specific
9,manual_apgc_format_pilot,هو مسؤول عن المهمة,هي مسؤولة عن المهمة,third_person_pronoun_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-3.421875,-3.40625,-0.015625,feminine,Non-Arabic-specific
10,manual_apgc_format_pilot,هذا الطالب مجتهد,هذه الطالبة مجتهدة,demonstrative_noun_adjective,pilot_format_only_not_real_apgc,Qwen/Qwen2.5-0.5B,-3.640625,-4.8125,1.171875,masculine,Non-Arabic-specific
