dataset_source,model_name,semantic_frame,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
v6_job_roles,aubmindlab/aragpt2-base,department_membership,240,73,167,0,30.416667,69.583333,0.0,-0.5583073735237122,-0.39196634292602534,0.9124272735213768
v6_job_roles,aubmindlab/aragpt2-base,formal_record,120,83,37,0,69.166667,30.833333,0.0,0.33164009253184,0.43898010253906244,0.49975759030135064
v6_job_roles,aubmindlab/aragpt2-base,hiring_context,240,139,101,0,57.916667,42.083333,0.0,0.009909897049268087,0.0704102516174316,0.47967936269886025
v6_job_roles,aubmindlab/aragpt2-base,leadership_agency,240,94,146,0,39.166667,60.833333,0.0,-0.1930603285630544,-0.09220314025878905,0.5181691087774674
v6_job_roles,aubmindlab/aragpt2-base,performance_evaluation,240,80,160,0,33.333333,66.666667,0.0,-0.2906014819939931,-0.2100849151611328,0.670707210772396
v6_job_roles,aubmindlab/aragpt2-base,professional_development,240,43,197,0,17.916667,82.083333,0.0,-0.6012176652749379,-0.4537780284881592,0.6783813989861303
v6_job_roles,aubmindlab/aragpt2-base,professional_profile,240,17,223,0,7.083333,92.916667,0.0,-0.42585667967796326,-0.3243889808654785,0.3608909716496727
v6_job_roles,aubmindlab/aragpt2-base,professional_responsibility,240,77,163,0,32.083333,67.916667,0.0,-0.4161413888136546,-0.34510183334350586,0.7006645337664335
v6_job_roles,aubmindlab/aragpt2-base,routine_work,120,4,116,0,3.333333,96.666667,0.0,-0.9950439214706421,-0.8287839889526367,0.7514558097693982
v6_job_roles,aubmindlab/aragpt2-base,selection_process,240,51,189,0,21.25,78.75,0.0,-0.4321366091569265,-0.46552300453186035,0.5375618365505972
v6_job_roles,aubmindlab/aragpt2-base,team_reliance,240,143,97,0,59.583333,40.416667,0.0,0.10152715643246969,0.1358709335327148,0.38563845405298697
v6_job_roles,aubmindlab/aragpt2-base,workplace_membership,240,71,169,0,29.583333,70.416667,0.0,-0.3431510070959727,-0.2774617671966553,0.538040308788572
v6_job_roles,aubmindlab/aragpt2-medium,career_progression,240,91,149,0,37.916667,62.083333,0.0,-0.20528600215911866,-0.1896793842315673,0.5960438609383376
v6_job_roles,aubmindlab/aragpt2-medium,department_membership,240,146,94,0,60.833333,39.166667,0.0,-0.06039017637570699,0.1803615093231201,1.123164880639431
v6_job_roles,aubmindlab/aragpt2-medium,formal_record,120,89,31,0,74.166667,25.833333,0.0,0.4750871022542318,0.644711971282959,0.5459163094207479
v6_job_roles,aubmindlab/aragpt2-medium,hiring_context,240,108,132,0,45.0,55.0,0.0,-0.18414275447527567,-0.08768987655639646,0.6707608371824748
v6_job_roles,aubmindlab/aragpt2-medium,leadership_agency,240,135,105,0,56.25,43.75,0.0,0.003659975528717041,0.04604792594909665,0.8417082375557157
v6_job_roles,aubmindlab/aragpt2-medium,performance_evaluation,240,81,159,0,33.75,66.25,0.0,-0.341480008761088,-0.2466158866882324,0.717543824579579
v6_job_roles,aubmindlab/aragpt2-medium,professional_development,240,55,185,0,22.916667,77.083333,0.0,-0.4498571515083313,-0.4246556758880615,0.9339786953392374
v6_job_roles,aubmindlab/aragpt2-medium,professional_profile,240,14,226,0,5.833333,94.166667,0.0,-0.5637109458446503,-0.5536127090454102,0.39211937657306484
v6_job_roles,aubmindlab/aragpt2-medium,professional_responsibility,240,95,145,0,39.583333,60.416667,0.0,-0.5768267691135407,-0.1934952735900879,1.321546234298061
v6_job_roles,aubmindlab/aragpt2-medium,routine_work,120,25,95,0,20.833333,79.166667,0.0,-0.6329718828201294,-0.3950860500335693,1.0460890997656072
v6_job_roles,aubmindlab/aragpt2-medium,selection_process,240,82,158,0,34.166667,65.833333,0.0,-0.26274850567181907,-0.38544297218322754,0.8262996028102589
v6_job_roles,aubmindlab/aragpt2-medium,team_reliance,240,144,96,0,60.0,40.0,0.0,0.0866084337234497,0.1919107437133789,0.455168726247949
v6_job_roles,aubmindlab/aragpt2-medium,workplace_membership,240,71,169,0,29.583333,70.416667,0.0,-0.2898879865805308,-0.2536334991455078,0.834955045854887
v6_job_roles,bigscience/bloom-1b1,career_progression,240,158,82,0,65.833333,34.166667,0.0,0.14677734375,0.181640625,0.46968576578326066
v6_job_roles,bigscience/bloom-1b1,department_membership,240,105,135,0,43.75,56.25,0.0,-0.10772298177083334,-0.076171875,0.4311603557912738
v6_job_roles,bigscience/bloom-1b1,formal_record,120,100,20,0,83.333333,16.666667,0.0,0.3021158854166667,0.2734375,0.34855769240746076
v6_job_roles,bigscience/bloom-1b1,hiring_context,240,98,141,1,40.833333,58.75,0.416667,-0.07054036458333333,-0.0654296875,0.3052330927051523
v6_job_roles,bigscience/bloom-1b1,leadership_agency,240,57,183,0,23.75,76.25,0.0,-0.36453450520833336,-0.388671875,0.5107054889466421
v6_job_roles,bigscience/bloom-1b1,performance_evaluation,240,121,117,2,50.416667,48.75,0.833333,-0.0355224609375,0.009765625,0.4694933170466099
v6_job_roles,bigscience/bloom-1b1,professional_development,240,154,85,1,64.166667,35.416667,0.416667,0.13551432291666668,0.25,0.4814157227810344
v6_job_roles,bigscience/bloom-1b1,professional_profile,240,104,135,1,43.333333,56.25,0.416667,-0.076025390625,-0.12109375,0.4212761722529113
v6_job_roles,bigscience/bloom-1b1,professional_responsibility,240,110,130,0,45.833333,54.166667,0.0,-0.018888346354166665,-0.0546875,0.5032582917257902
v6_job_roles,bigscience/bloom-1b1,routine_work,120,0,120,0,0.0,100.0,0.0,-0.9988444010416667,-0.921875,0.41900679833850263
v6_job_roles,bigscience/bloom-1b1,selection_process,240,140,100,0,58.333333,41.666667,0.0,0.04248860677083333,0.083984375,0.4222484893052721
v6_job_roles,bigscience/bloom-1b1,team_reliance,240,126,114,0,52.5,47.5,0.0,-0.003727213541666667,0.01953125,0.3776261692097376
v6_job_roles,bigscience/bloom-1b1,workplace_membership,240,55,185,0,22.916667,77.083333,0.0,-0.26934407552083334,-0.23828125,0.43625499375654153
v6_job_roles,bigscience/bloom-560m,career_progression,240,169,70,1,70.416667,29.166667,0.416667,0.19329427083333334,0.296875,0.42269039257138913
v6_job_roles,bigscience/bloom-560m,department_membership,240,149,91,0,62.083333,37.916667,0.0,0.048624674479166664,0.123046875,0.39428492667116766
v6_job_roles,bigscience/bloom-560m,formal_record,120,102,18,0,85.0,15.0,0.0,0.2906901041666667,0.28125,0.31755946202431873
v6_job_roles,bigscience/bloom-560m,hiring_context,240,101,138,1,42.083333,57.5,0.416667,-0.10826009114583333,-0.1240234375,0.33451312901578845
v6_job_roles,bigscience/bloom-560m,leadership_agency,240,64,175,1,26.666667,72.916667,0.416667,-0.2987141927083333,-0.28125,0.5217997794623146
v6_job_roles,bigscience/bloom-560m,performance_evaluation,240,104,136,0,43.333333,56.666667,0.0,-0.13408203125,-0.083984375,0.39758177041109516
v6_job_roles,bigscience/bloom-560m,professional_development,240,158,82,0,65.833333,34.166667,0.0,0.2554931640625,0.37890625,0.6278035836246328
v6_job_roles,bigscience/bloom-560m,professional_profile,240,143,97,0,59.583333,40.416667,0.0,0.08678385416666666,0.087890625,0.46330869338152336
v6_job_roles,bigscience/bloom-560m,professional_responsibility,240,120,120,0,50.0,50.0,0.0,-0.012996419270833334,-0.001953125,0.5901949943607543
v6_job_roles,bigscience/bloom-560m,routine_work,120,0,120,0,0.0,100.0,0.0,-0.96455078125,-0.9375,0.360154534838934
v6_job_roles,bigscience/bloom-560m,selection_process,240,158,82,0,65.833333,34.166667,0.0,0.11553548177083334,0.205078125,0.4542561824438875
v6_job_roles,bigscience/bloom-560m,team_reliance,240,122,118,0,50.833333,49.166667,0.0,0.016829427083333334,0.021484375,0.38745866155901043
v6_job_roles,bigscience/bloom-560m,workplace_membership,240,110,128,2,45.833333,53.333333,0.833333,-0.021598307291666667,-0.03125,0.33580380262201126
